journal,search,journalID
PSYCHOL MED,PSYCHOL MED[journal],93
Health Technol Assess.,Health Technol Assess.[journal],94
Health Aff (Millwood),Health Aff (Millwood)[journal],95
STAT METHODS MED RES,STAT METHODS MED RES[journal],96
J Am Med Inform Assoc.,J Am Med Inform Assoc.[journal],97
Health Policy Plan.,Health Policy Plan.[journal],98
J GEN INTERN MED,J GEN INTERN MED[journal],99
Br J Gen Pract.,Br J Gen Pract.[journal],100
AM FAM PHYSICIAN,AM FAM PHYSICIAN[journal],101
FAM PRACT,FAM PRACT[journal],102
CAN FAM PHYSICIAN,CAN FAM PHYSICIAN[journal],103
Scand J Prim Health Care,Scand J Prim Health Care[journal],104
FAM MED,FAM MED[journal],105
AQUAT TOXICOL,AQUAT TOXICOL[journal],106
BIOFOULING,BIOFOULING[journal],107
MAR BIOTECHNOL,MAR BIOTECHNOL[journal],108
MICROB ECOL,MICROB ECOL[journal],109
TRENDS PLANT SCI,TRENDS PLANT SCI[journal],110
ANNU REV PHYTOPATHOL,ANNU REV PHYTOPATHOL[journal],111
PLANT CELL,PLANT CELL[journal],112
CURR OPIN PLANT BIOL,CURR OPIN PLANT BIOL[journal],113
J ANIM ECOL,J ANIM ECOL[journal],114
J COMP NEUROL,J COMP NEUROL[journal],115
ANIM BEHAV,ANIM BEHAV[journal],116
DEV COMP IMMUNOL,DEV COMP IMMUNOL[journal],117
Proc Natl Acad Sci U S A,Proc Natl Acad Sci U S A[journal],118
ANN NY ACAD SCI,ANN NY ACAD SCI[journal],119
SCI AM,SCI AM[journal],120
Sci Eng Ethics.,Sci Eng Ethics.[journal],121
BRAIN BEHAV IMMUN,BRAIN BEHAV IMMUN[journal],122
